,0.011,-0.031,DrkN,,9.0,,,,,,,
,0.011,-0.148,DrkN,,8.0,,,,,,,
,0.042,-0.910,DrkN,,4.5,,,,,,,
,0.002,0.867,DrkN,,10.0,,,,,,,
,0.007,-0.732,DrkN,,5.0,,,,,,,
,-0.003,-0.267,DrkN,,7.0,,,,,,,
,0.006,1.201,DrkN,,3.0,,,,,,,
,0.036,-0.060,DrkN,,16.0,,,,,,,
,0.030,-2.462,DrkN,,,,,,,,,
,0.011,0.652,DrkN,,6.0,,,,,,,
,0.011,2.319,DrkN,,13.0,,,,,,,
,0.021,-0.080,DrkN,,8.0,,,,,,,
,0.120,2.671,DrkN,,,,,,,,,
,0.006,1.551,DrkN,,180.0,,,,,,,
,0.027,-1.628,DrkN,,,,,,,,,
,0.030,6.639,DrkN,,60.0,,,,,,,
,0.006,-3.333,DrkN,,20.0,,,,,,,
,0.325,8.622,DrkN,,40.0,,,,,,,
,0.029,0.488,DrkN,,30.0,,,,,,,
,0.288,24.332,DrkN,,270.0,,,,,,,
,0.069,2.345,DrkN,,45.0,,,,,,,
,0.011,-1.665,DrkN,,,,,,,,,
,0.056,-0.642,DrkN,,11.0,,,,,,,
,0.681,24.252,DrkN,,3.0,,,,,,,
,0.022,-0.097,DrkN,,2.0,,,,,,,
,0.027,0.771,DrkN,,60.0,,,,,,,
,0.293,-3.980,DrkN,,60.0,,,,,,,
,0.105,5.414,DrkN,,9.0,,,,,,,
,0.109,-5.288,DrkN,,60.0,,,,,,,
,0.005,0.167,DrkN,,8.0,,,,,,,
,0.180,-11.647,DrkN,,13.0,,,,,,,
,0.030,0.620,DrkN,,8.0,,,,,,,
,-0.004,9.084,DrkN,,5.0,,,,,,,
,0.058,-11.261,DrkN,,3.0,,,,,,,
,0.020,-0.181,DrkN,,25.0,,,,,,,
,-0.007,13.000,DrkN,,31.0,,,,,,,
,0.040,1.587,DrkN,,3.0,,,,,,,
,0.013,-1.498,DrkN,,13.0,,,,,,,
,0.017,0.385,DrkN,,,,,,,,,
,0.073,-5.610,DrkN,,20.0,,,,,,,
,0.040,9.121,DrkN,,18.0,,,,,,,
,0.035,-0.129,DrkN,,5.0,,,,,,,
,0.015,-0.016,DrkN,,5.0,,,,,,,
,0.023,-12.798,DrkN,,10.0,,,,,,,
,0.092,11.492,DrkN,,60.0,,,,,,,
,-0.014,0.199,DrkN,,15.0,,,,,,,
,0.055,-0.095,DrkN,,91.0,,,,,,,
1,0.103,0.809,DrkN,,4.0,,,,,,,
,-0.003,-0.600,DrkN,,19.0,,,,,,,
,0.112,10.860,DrkN,,60.0,,,,,,,
25,-20.017,-12.848,DrkN,,10.0,,,,,,,
,1.210,-26.813,DrkN,,22.0,,,,,,,
,0.004,0.500,DrkN,,,,,,,,,
,0.044,-0.590,DrkN,,14.0,,,,,,,
,0.001,0.917,DrkN,,15.0,,,,,,,
,0.010,-0.918,DrkN,,5.0,,,,,,,
,0.591,-3.839,DrkN,,,,,,,,,
,0.115,-1.185,DrkN,,,,,,,,,
,0.014,3.164,DrkN,,,,,,,,,
,0.053,-3.259,DrkN,,,,,,,,,
,0.028,2.746,DrkN,,,,,,,,,
,0.034,-2.505,DrkN,,,,,,,,,
,0.032,1.744,DrkN,,,,,,,,,
,0.012,1.498,DrkN,,5.0,,,,,,,
,0.028,-3.504,DrkN,,,,,,,,,
,0.007,1.582,DrkN,,,,,,,,,
,0.061,-0.510,DrkN,,,,,,,,,
,0.008,0.165,DrkN,,15.0,,,Northern Streamer,,,,
,0.112,3.315,DrkN,,120.0,,,,,,,
,0.111,-3.602,DrkN,,7.0,,,,,,,
,0.042,5.743,DrkN,,45.0,,,,,,,
,0.406,0.429,DrkN,,10.0,,,,,,,
,0.218,-23.840,DrkN,,8.0,,,,,,,
,0.041,2.292,DrkN,,20.0,,,,,,,
,0.084,0.985,DrkN,,,,,,,,,
,0.127,22.096,DrkN,,17.0,,,,,,,
,0.513,-14.045,DrkN,,12.0,,,,,,,
,9.626,-54.168,DrkN,,240.0,,,,,,,
,0.546,7.202,DrkN,,45.0,,,,,,,
,0.158,10.527,DrkN,,60.0,,,,,,,
,0.187,-18.637,DrkN,,30.0,,,,,,,
,0.089,-4.402,DrkN,,10.0,,,,,,,
,0.017,4.420,DrkN,,37.0,,,,,,,
,0.028,4.922,DrkN,,18.0,,,,,,,
,0.011,-14.000,DrkN,,7.0,,,,,,,
,0.030,14.674,DrkN,,,,,,,,,
,0.000,-0.167,DrkN,,37.0,,,,,,,
,0.058,6.844,DrkN,,13.0,,,,,,,
,0.044,-7.993,DrkN,,15.0,,,,,,,
,0.071,-4.238,DrkN,,20.0,,,,,,,
,0.003,5.168,DrkN,,12.0,,,,,,,
,0.094,-2.234,DrkN,,19.0,,,,,,,
,0.078,2.847,DrkN,,25.0,,,,,,,
,0.018,1.170,DrkN,,25.0,,,,,,,
,0.018,-0.997,DrkN,,8.0,,,,,,,
,0.002,6.751,DrkN,,15.0,,,,,,,
,0.018,-7.597,DrkN,,4.0,,,,,,,
,-0.001,1.266,DrkN,,10.0,,,,,,,
,0.000,-0.166,DrkN,,13.0,,,,,,,
,-0.001,0.750,DrkN,,15.0,,,,,,,
,0.013,8.253,DrkN,,13.0,,,,,,,
,0.025,-11.997,DrkN,,20.0,,,,,,,
,0.004,9.585,DrkN,,60.0,,,,,,,
,0.082,-7.569,DrkN,,40.0,,,,,,,
,0.002,6.667,DrkN,,5.0,,,,,,,
,0.027,-5.362,DrkN,,50.0,,,,,,,
,0.010,-6.799,DrkN,,15.0,,,,,,,
,0.003,0.901,DrkN,,40.0,,,,,,,
,-0.016,15.431,DrkN,,30.0,,,,,,,
,0.047,-6.325,DrkN,,10.0,,,,,,,
,0.004,2.584,DrkN,,10.0,,,,,,,
,0.008,0.418,DrkN,,30.0,,,,,,,
,0.023,-20.164,DrkN,,30.0,,,,,,,
,0.005,17.252,DrkN,,10.0,,,,,,,
,0.006,0.335,DrkN,,12.0,,,,,,,
